id,ident,type,name,lat,lon,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3664,KMBS,medium_airport,MBS International Airport,43.532902,-84.079597,668,NA,United States,US,Michigan,US-MI,MI,Saginaw,1,KMBS,MBS,MBS,http://www.mbsairport.org/,https://en.wikipedia.org/wiki/MBS_International_Airport,"Tri City Airport, Midland, Bay City",750,2021-11-20T15:51:33+00:00
3898,KSPS,medium_airport,Sheppard Air Force Base-Wichita Falls Municipal Airport,33.9888,-98.491898,1019,NA,United States,US,Texas,US-TX,TX,Wichita Falls,1,KSPS,SPS,SPS,http://www.flywichitafalls.net/,https://en.wikipedia.org/wiki/Wichita_Falls_Municipal_Airport,Sheppard Air Force Base,750,2021-11-20T15:49:58+00:00
3906,KSTP,medium_airport,St Paul Downtown Holman Field,44.93450165,-93.05999756,705,NA,United States,US,Minnesota,US-MN,MN,St Paul,0,KSTP,STP,STP,,https://en.wikipedia.org/wiki/St._Paul_Downtown_Airport,,575,2008-06-13T14:30:04+00:00
20850,KPNE,medium_airport,Northeast Philadelphia Airport,40.081902,-75.010597,120,NA,United States,US,Pennsylvania,US-PA,PA,Philadelphia,1,KPNE,PNE,PNE,http://www.phl.org/pne/pne.html,https://en.wikipedia.org/wiki/Northeast_Philadelphia_Airport,,500,2017-06-15T22:38:47+00:00
3666,KMCC,medium_airport,Mc Clellan Airfield,38.66759872,-121.401001,77,NA,United States,US,California,US-CA,CA,Sacramento,0,KMCC,MCC,MCC,,https://en.wikipedia.org/wiki/McClellan_Airfield,McClellan AFB,300,2015-03-01T15:42:57+00:00
3941,KUKI,medium_airport,Ukiah Municipal Airport,39.12599945,-123.2009964,614,NA,United States,US,California,US-CA,CA,Ukiah,0,KUKI,UKI,UKI,http://www.cityofukiah.com/ukiah-airport/,https://en.wikipedia.org/wiki/Ukiah_Municipal_Airport,,300,2016-02-04T15:45:26+00:00
18945,K61B,medium_airport,Boulder City-Lake Mead International Airport,35.947498,-114.861,2201,NA,United States,US,Nevada,US-NV,NV,Boulder City,0,KBVU,BLD,BVU,,https://en.wikipedia.org/wiki/Boulder_City_Municipal_Airport,61B,250,2021-11-21T15:21:59+00:00
3649,KLOU,medium_airport,Bowman Field,38.22800064,-85.66369629,546,NA,United States,US,Kentucky,US-KY,KY,Louisville,0,KLOU,LOU,LOU,http://www.flylouisville.com/bowman-field/fast-facts/,https://en.wikipedia.org/wiki/Bowman_Field_(airport),,250,2014-07-23T22:52:06+00:00
19549,KCRE,medium_airport,Grand Strand Airport,33.81169891,-78.72389984,32,NA,United States,US,South Carolina,US-SC,SC,North Myrtle Beach,0,KCRE,CRE,CRE,,https://en.wikipedia.org/wiki/Grand_Strand_Airport,,250,2014-08-02T20:53:08+00:00
21325,KVIS,medium_airport,Visalia International Airport,36.318699,-119.392998,295,NA,United States,US,California,US-CA,CA,Visalia,0,KVIS,VIS,VIS,,https://en.wikipedia.org/wiki/Visalia_Municipal_Airport,,250,2021-11-21T15:19:42+00:00
3954,KWWD,medium_airport,Cape May County Airport,39.00849915,-74.90830231,23,NA,United States,US,New Jersey,US-NJ,NJ,Wildwood,0,KWWD,WWD,WWD,,https://en.wikipedia.org/wiki/Cape_May_Airport,,250,2013-06-29T10:17:26+00:00
19296,KAPV,small_airport,Apple Valley Airport,34.57529831,-117.185997,3062,NA,United States,US,California,US-CA,CA,Apple Valley,0,KAPV,APV,APV,,https://en.wikipedia.org/wiki/Apple_Valley_Airport_(California),,50,2012-06-17T18:36:46+00:00
19660,KDTO,small_airport,Denton Municipal Airport,33.20069885,-97.19799805,642,NA,United States,US,Texas,US-TX,TX,Denton,0,KDTO,,DTO,http://www.cityofdenton.com/index.aspx?page=451,,,50,2010-08-09T10:29:55+00:00
17054,CVH,small_airport,Hollister Municipal Airport,36.8932991,-121.4100037,230,NA,United States,US,California,US-CA,CA,Hollister,0,KCVH,HLI,CVH,http://www.hollister.ca.gov/site/html/gov/office/airport.asp,https://en.wikipedia.org/wiki/Hollister_Municipal_Airport,3O7,50,2013-05-27T12:48:41+00:00
